"plant_species","animal_species","plot","date","type","plot_date_type","frequency"
"Erianthemum dregei","Anaplectes rubriceps","cof1",2014-12-15,"Bird-fruit","cof1_2014-12-15_Bird-fruit",11
"Erianthemum dregei","Cinnyricinclus leucogaster","cof1",2014-12-15,"Bird-fruit","cof1_2014-12-15_Bird-fruit",3
"Cissus oliveri","Pycnonotus barbatus","cof1",2014-12-15,"Bird-fruit","cof1_2014-12-15_Bird-fruit",1
"Maesopsis eminii","Bycanistes brevis","cof2",2014-07-14,"Bird-fruit","cof2_2014-07-14_Bird-fruit",55
"Trema orientalis","Bycanistes brevis","cof2",2014-07-14,"Bird-fruit","cof2_2014-07-14_Bird-fruit",7
"Trema orientalis","Cinnyricinclus leucogaster","cof2",2014-07-14,"Bird-fruit","cof2_2014-07-14_Bird-fruit",7
"Solanum nigrum","Colius striatus","cof2",2014-07-14,"Bird-fruit","cof2_2014-07-14_Bird-fruit",1
"Maesopsis eminii","Onychognathus morio","cof2",2014-07-14,"Bird-fruit","cof2_2014-07-14_Bird-fruit",7
"Trema orientalis","Ploceus baglafecht","cof2",2014-07-14,"Bird-fruit","cof2_2014-07-14_Bird-fruit",20
"Trema orientalis","Poeoptera kenricki","cof2",2014-07-14,"Bird-fruit","cof2_2014-07-14_Bird-fruit",1
"Trema orientalis","Pycnonotus barbatus","cof2",2014-07-14,"Bird-fruit","cof2_2014-07-14_Bird-fruit",77
"Maesopsis eminii","Tockus alboterminatus","cof2",2014-07-14,"Bird-fruit","cof2_2014-07-14_Bird-fruit",4
"Erianthemum dregei","Anaplectes rubriceps","cof3",2014-07-21,"Bird-fruit","cof3_2014-07-21_Bird-fruit",3
"Ficus thonningii","Anaplectes rubriceps","cof3",2014-07-21,"Bird-fruit","cof3_2014-07-21_Bird-fruit",5
"Trema orientalis","Anaplectes rubriceps","cof3",2014-07-21,"Bird-fruit","cof3_2014-07-21_Bird-fruit",13
"Ficus thonningii","Bycanistes brevis","cof3",2014-07-21,"Bird-fruit","cof3_2014-07-21_Bird-fruit",11
