"plant_species","animal_species","plot","date","type","plot_date_type","frequency"
"Albizia schimperiana","Anthreptes collaris","cof1",2014-12-15,"Bird-flower","cof1_2014-12-15_Bird-flower",10
"Albizia schimperiana","Camaroptera brachyura","cof1",2014-12-15,"Bird-flower","cof1_2014-12-15_Bird-flower",1
"Albizia schimperiana","Lonchura bicolor","cof1",2014-12-15,"Bird-flower","cof1_2014-12-15_Bird-flower",31
"Albizia schimperiana","Nectarinia amethystina","cof1",2014-12-15,"Bird-flower","cof1_2014-12-15_Bird-flower",4
"Albizia schimperiana","Nectarinia venusta","cof1",2014-12-15,"Bird-flower","cof1_2014-12-15_Bird-flower",12
"Albizia schimperiana","Ploceus baglafecht","cof1",2014-12-15,"Bird-flower","cof1_2014-12-15_Bird-flower",1
"Erianthemum dregei","Pycnonotus barbatus","cof1",2014-12-15,"Bird-flower","cof1_2014-12-15_Bird-flower",1
"Albizia schimperiana","Sylvia borin","cof1",2014-12-15,"Bird-flower","cof1_2014-12-15_Bird-flower",2
"Erianthemum dregei","Anthreptes collaris","cof4",2013-12-16,"Bird-flower","cof4_2013-12-16_Bird-flower",16
"Jacaranda mimosifolia","Anthreptes collaris","cof4",2013-12-16,"Bird-flower","cof4_2013-12-16_Bird-flower",20
"Erianthemum dregei","Nectarinia amethystina","cof4",2013-12-16,"Bird-flower","cof4_2013-12-16_Bird-flower",71
"Jacaranda mimosifolia","Nectarinia amethystina","cof4",2013-12-16,"Bird-flower","cof4_2013-12-16_Bird-flower",17
"Erianthemum dregei","Nectarinia venusta","cof4",2013-12-16,"Bird-flower","cof4_2013-12-16_Bird-flower",3
"Jacaranda mimosifolia","Nectarinia venusta","cof4",2013-12-16,"Bird-flower","cof4_2013-12-16_Bird-flower",22
"Albizia schimperiana","Anthreptes collaris","cof6",2014-12-15,"Bird-flower","cof6_2014-12-15_Bird-flower",2
"Plicosepalus curviflorus","Anthreptes collaris","cof6",2014-12-15,"Bird-flower","cof6_2014-12-15_Bird-flower",1
"Albizia schimperiana","Nectarinia amethystina","cof6",2014-12-15,"Bird-flower","cof6_2014-12-15_Bird-flower",1
"Erianthemum dregei","Nectarinia amethystina","cof6",2014-12-15,"Bird-flower","cof6_2014-12-15_Bird-flower",1
"Plicosepalus curviflorus","Nectarinia amethystina","cof6",2014-12-15,"Bird-flower","cof6_2014-12-15_Bird-flower",3
"Albizia schimperiana","Nectarinia kilimensis","cof6",2014-12-15,"Bird-flower","cof6_2014-12-15_Bird-flower",9
"Erianthemum dregei","Nectarinia kilimensis","cof6",2014-12-15,"Bird-flower","cof6_2014-12-15_Bird-flower",2
"Plicosepalus curviflorus","Nectarinia kilimensis","cof6",2014-12-15,"Bird-flower","cof6_2014-12-15_Bird-flower",10
"Albizia schimperiana","Nectarinia venusta","cof6",2014-12-15,"Bird-flower","cof6_2014-12-15_Bird-flower",11
"Erianthemum dregei","Nectarinia venusta","cof6",2014-12-15,"Bird-flower","cof6_2014-12-15_Bird-flower",2
"Lantana camara","Nectarinia venusta","cof6",2014-12-15,"Bird-flower","cof6_2014-12-15_Bird-flower",1
"Plicosepalus curviflorus","Nectarinia venusta","cof6",2014-12-15,"Bird-flower","cof6_2014-12-15_Bird-flower",4
"Albizia schimperiana","Ploceus baglafecht","cof6",2014-12-15,"Bird-flower","cof6_2014-12-15_Bird-flower",4
"Impatiens kilimandscharica","Nectarinia mediocris","foc1",2015-03-16,"Bird-flower","foc1_2015-03-16_Bird-flower",3
"Isoglossa laxa","Nectarinia mediocris","foc1",2015-03-16,"Bird-flower","foc1_2015-03-16_Bird-flower",3
"Lasianthus kilimandscharicus","Nectarinia mediocris","foc1",2015-03-16,"Bird-flower","foc1_2015-03-16_Bird-flower",3
"Impatiens kilimandscharica","Nectarinia olivacea","foc1",2015-03-16,"Bird-flower","foc1_2015-03-16_Bird-flower",5
"Isoglossa laxa","Nectarinia olivacea","foc1",2015-03-16,"Bird-flower","foc1_2015-03-16_Bird-flower",2
"Leucas volkensii","Nectarinia kilimensis","fpd2",2015-08-17,"Bird-flower","fpd2_2015-08-17_Bird-flower",4
"Lobelia deckenii","Nectarinia kilimensis","fpd2",2015-08-17,"Bird-flower","fpd2_2015-08-17_Bird-flower",4
"Leucas volkensii","Nectarinia mediocris","fpd2",2015-08-17,"Bird-flower","fpd2_2015-08-17_Bird-flower",42
"Lobelia deckenii","Nectarinia mediocris","fpd2",2015-08-17,"Bird-flower","fpd2_2015-08-17_Bird-flower",61
"Plectranthus sylvestris","Nectarinia mediocris","fpd2",2015-08-17,"Bird-flower","fpd2_2015-08-17_Bird-flower",1
"Discopodium eremanthum","Nectarinia olivacea","fpd2",2015-08-17,"Bird-flower","fpd2_2015-08-17_Bird-flower",1
"Leucas volkensii","Nectarinia olivacea","fpd2",2015-08-17,"Bird-flower","fpd2_2015-08-17_Bird-flower",3
"Lobelia deckenii","Nectarinia olivacea","fpd2",2015-08-17,"Bird-flower","fpd2_2015-08-17_Bird-flower",3
"Leucas volkensii","Nectarinia tacazze","fpd2",2015-08-17,"Bird-flower","fpd2_2015-08-17_Bird-flower",6
"Lobelia deckenii","Nectarinia tacazze","fpd2",2015-08-17,"Bird-flower","fpd2_2015-08-17_Bird-flower",65
"Leucas volkensii","Nectarinia mediocris","fpd3",2014-09-08,"Bird-flower","fpd3_2014-09-08_Bird-flower",5
"Mikaniopsis usambarensis","Nectarinia mediocris","fpd3",2014-09-08,"Bird-flower","fpd3_2014-09-08_Bird-flower",15
"Plectranthus sylvestris","Nectarinia mediocris","fpd3",2014-09-08,"Bird-flower","fpd3_2014-09-08_Bird-flower",6
"Zehneria scabra","Nectarinia mediocris","fpd3",2014-09-08,"Bird-flower","fpd3_2014-09-08_Bird-flower",3
"Mikaniopsis usambarensis","Nectarinia olivacea","fpd3",2014-09-08,"Bird-flower","fpd3_2014-09-08_Bird-flower",2
"Mikaniopsis usambarensis","Nectarinia tacazze","fpd3",2014-09-08,"Bird-flower","fpd3_2014-09-08_Bird-flower",1
"Discopodium eremanthum","Nectarinia mediocris","fpo2",2015-08-17,"Bird-flower","fpo2_2015-08-17_Bird-flower",2
"Leucas volkensii","Nectarinia mediocris","fpo2",2015-08-17,"Bird-flower","fpo2_2015-08-17_Bird-flower",5
"Leucas volkensii","Nectarinia olivacea","fpo2",2015-08-17,"Bird-flower","fpo2_2015-08-17_Bird-flower",3
"Discopodium eremanthum","Nectarinia mediocris","fpo3",2015-08-17,"Bird-flower","fpo3_2015-08-17_Bird-flower",1
"Leucas volkensii","Nectarinia mediocris","fpo3",2015-08-17,"Bird-flower","fpo3_2015-08-17_Bird-flower",23
"Discopodium eremanthum","Nectarinia olivacea","fpo3",2015-08-17,"Bird-flower","fpo3_2015-08-17_Bird-flower",1
"Leucas volkensii","Nectarinia olivacea","fpo3",2015-08-17,"Bird-flower","fpo3_2015-08-17_Bird-flower",5
"Discopodium eremanthum","Nectarinia mediocris","fpo4",2014-09-01,"Bird-flower","fpo4_2014-09-01_Bird-flower",1
"Plectranthus sylvestris","Nectarinia mediocris","fpo4",2014-09-01,"Bird-flower","fpo4_2014-09-01_Bird-flower",2
"Zehneria scabra","Nectarinia mediocris","fpo4",2014-09-01,"Bird-flower","fpo4_2014-09-01_Bird-flower",3
"Discopodium eremanthum","Nectarinia olivacea","fpo4",2014-09-01,"Bird-flower","fpo4_2014-09-01_Bird-flower",1
"Leucas volkensii","Nectarinia mediocris","fpo5",2015-08-03,"Bird-flower","fpo5_2015-08-03_Bird-flower",2
"Mikaniopsis usambarensis","Nectarinia mediocris","fpo5",2015-08-03,"Bird-flower","fpo5_2015-08-03_Bird-flower",2
"Plectranthus sylvestris","Nectarinia mediocris","fpo5",2015-08-03,"Bird-flower","fpo5_2015-08-03_Bird-flower",1
"Mikaniopsis usambarensis","Zosterops poliogastrus","fpo5",2015-08-03,"Bird-flower","fpo5_2015-08-03_Bird-flower",1
"Phragmantera usuiensis","Nectarinia amethystina","gra2",2014-11-25,"Bird-flower","gra2_2014-11-25_Bird-flower",2
"Lantana camara","Nectarinia kilimensis","gra2",2014-11-25,"Bird-flower","gra2_2014-11-25_Bird-flower",1
"Lantana camara","Nectarinia mediocris","gra2",2014-11-25,"Bird-flower","gra2_2014-11-25_Bird-flower",1
"Lantana camara","Nectarinia olivacea","gra2",2014-11-25,"Bird-flower","gra2_2014-11-25_Bird-flower",33
"Phragmantera usuiensis","Nectarinia olivacea","gra2",2014-11-25,"Bird-flower","gra2_2014-11-25_Bird-flower",3
"Lantana camara","Nectarinia venusta","gra2",2014-11-25,"Bird-flower","gra2_2014-11-25_Bird-flower",221
"Phragmantera usuiensis","Nectarinia venusta","gra2",2014-11-25,"Bird-flower","gra2_2014-11-25_Bird-flower",5
"Eucalyptus robusta","Andropadus milanjensis","hom1",2014-08-18,"Bird-flower","hom1_2014-08-18_Bird-flower",13
"Erianthemum dregei","Anthreptes collaris","hom1",2014-08-18,"Bird-flower","hom1_2014-08-18_Bird-flower",5
"Eucalyptus robusta","Anthreptes collaris","hom1",2014-08-18,"Bird-flower","hom1_2014-08-18_Bird-flower",44
"Eucalyptus robusta","Colius striatus","hom1",2014-08-18,"Bird-flower","hom1_2014-08-18_Bird-flower",5
"Eucalyptus robusta","Estrilda quartinia","hom1",2014-08-18,"Bird-flower","hom1_2014-08-18_Bird-flower",2
"Eucalyptus robusta","Lonchura bicolor","hom1",2014-08-18,"Bird-flower","hom1_2014-08-18_Bird-flower",19
"Erianthemum dregei","Nectarinia amethystina","hom1",2014-08-18,"Bird-flower","hom1_2014-08-18_Bird-flower",8
"Eucalyptus robusta","Nectarinia amethystina","hom1",2014-08-18,"Bird-flower","hom1_2014-08-18_Bird-flower",19
"Erianthemum dregei","Nectarinia mediocris","hom1",2014-08-18,"Bird-flower","hom1_2014-08-18_Bird-flower",2
"Eucalyptus robusta","Nectarinia mediocris","hom1",2014-08-18,"Bird-flower","hom1_2014-08-18_Bird-flower",4
"Erianthemum dregei","Nectarinia olivacea","hom1",2014-08-18,"Bird-flower","hom1_2014-08-18_Bird-flower",12
"Eucalyptus robusta","Nectarinia olivacea","hom1",2014-08-18,"Bird-flower","hom1_2014-08-18_Bird-flower",65
"Erianthemum dregei","Nectarinia venusta","hom1",2014-08-18,"Bird-flower","hom1_2014-08-18_Bird-flower",5
"Eucalyptus robusta","Nectarinia venusta","hom1",2014-08-18,"Bird-flower","hom1_2014-08-18_Bird-flower",14
"Musa sp.","Nectarinia venusta","hom1",2014-08-18,"Bird-flower","hom1_2014-08-18_Bird-flower",2
"Eucalyptus robusta","Ploceus baglafecht","hom1",2014-08-18,"Bird-flower","hom1_2014-08-18_Bird-flower",2
"Eucalyptus robusta","Ploceus ocularis","hom1",2014-08-18,"Bird-flower","hom1_2014-08-18_Bird-flower",1
"Eucalyptus robusta","Pycnonotus barbatus","hom1",2014-08-18,"Bird-flower","hom1_2014-08-18_Bird-flower",21
"Erianthemum dregei","Zosterops poliogastrus","hom1",2014-08-18,"Bird-flower","hom1_2014-08-18_Bird-flower",7
"Eucalyptus robusta","Zosterops poliogastrus","hom1",2014-08-18,"Bird-flower","hom1_2014-08-18_Bird-flower",129
"Erianthemum dregei","Anthreptes collaris","hom2",2015-02-16,"Bird-flower","hom2_2015-02-16_Bird-flower",299
"Erianthemum dregei","Lonchura bicolor","hom2",2015-02-16,"Bird-flower","hom2_2015-02-16_Bird-flower",82
"Erianthemum dregei","Nectarinia amethystina","hom2",2015-02-16,"Bird-flower","hom2_2015-02-16_Bird-flower",95
"Musa sp.","Nectarinia amethystina","hom2",2015-02-16,"Bird-flower","hom2_2015-02-16_Bird-flower",1
"Erianthemum dregei","Nectarinia olivacea","hom2",2015-02-16,"Bird-flower","hom2_2015-02-16_Bird-flower",14
"Eucalyptus robusta","Anthreptes collaris","hom3",2015-07-27,"Bird-flower","hom3_2015-07-27_Bird-flower",15
"Musa sp.","Anthreptes collaris","hom3",2015-07-27,"Bird-flower","hom3_2015-07-27_Bird-flower",1
"Passiflora edulis","Anthreptes collaris","hom3",2015-07-27,"Bird-flower","hom3_2015-07-27_Bird-flower",1
"Eucalyptus robusta","Nectarinia amethystina","hom3",2015-07-27,"Bird-flower","hom3_2015-07-27_Bird-flower",14
"Passiflora edulis","Nectarinia amethystina","hom3",2015-07-27,"Bird-flower","hom3_2015-07-27_Bird-flower",2
"Eucalyptus robusta","Nectarinia mediocris","hom3",2015-07-27,"Bird-flower","hom3_2015-07-27_Bird-flower",3
"Passiflora edulis","Nectarinia mediocris","hom3",2015-07-27,"Bird-flower","hom3_2015-07-27_Bird-flower",2
"Eucalyptus robusta","Nectarinia olivacea","hom3",2015-07-27,"Bird-flower","hom3_2015-07-27_Bird-flower",51
"Passiflora edulis","Nectarinia olivacea","hom3",2015-07-27,"Bird-flower","hom3_2015-07-27_Bird-flower",1
"Eucalyptus robusta","Nectarinia venusta","hom3",2015-07-27,"Bird-flower","hom3_2015-07-27_Bird-flower",11
"Musa sp.","Nectarinia venusta","hom3",2015-07-27,"Bird-flower","hom3_2015-07-27_Bird-flower",2
"Eucalyptus robusta","Zosterops poliogastrus","hom3",2015-07-27,"Bird-flower","hom3_2015-07-27_Bird-flower",140
"Erianthemum dregei","Anthreptes collaris","hom4",2015-01-19,"Bird-flower","hom4_2015-01-19_Bird-flower",156
"Erythrina abyssinica","Anthreptes collaris","hom4",2015-01-19,"Bird-flower","hom4_2015-01-19_Bird-flower",2
"Erianthemum dregei","Lonchura bicolor","hom4",2015-01-19,"Bird-flower","hom4_2015-01-19_Bird-flower",1
"Erianthemum dregei","Nectarinia amethystina","hom4",2015-01-19,"Bird-flower","hom4_2015-01-19_Bird-flower",46
"Erythrina abyssinica","Nectarinia amethystina","hom4",2015-01-19,"Bird-flower","hom4_2015-01-19_Bird-flower",2
"Musa sp.","Nectarinia amethystina","hom4",2015-01-19,"Bird-flower","hom4_2015-01-19_Bird-flower",4
"Erianthemum dregei","Nectarinia olivacea","hom4",2015-01-19,"Bird-flower","hom4_2015-01-19_Bird-flower",40
"Erianthemum dregei","Nectarinia venusta","hom4",2015-01-19,"Bird-flower","hom4_2015-01-19_Bird-flower",71
"Musa sp.","Nectarinia amethystina","hom5",2015-09-07,"Bird-flower","hom5_2015-09-07_Bird-flower",1
"Spathodea campanulata","Nectarinia amethystina","hom5",2015-09-07,"Bird-flower","hom5_2015-09-07_Bird-flower",1
"Musa sp.","Nectarinia olivacea","hom5",2015-09-07,"Bird-flower","hom5_2015-09-07_Bird-flower",1
"Spathodea campanulata","Pycnonotus barbatus","hom5",2015-09-07,"Bird-flower","hom5_2015-09-07_Bird-flower",4
"Delonix regia","Nectarinia amethystina","mai4",2013-11-25,"Bird-flower","mai4_2013-11-25_Bird-flower",1
"Lantana camara","Nectarinia amethystina","mai4",2013-11-25,"Bird-flower","mai4_2013-11-25_Bird-flower",2
"Delonix regia","Nectarinia hunteri","mai4",2013-11-25,"Bird-flower","mai4_2013-11-25_Bird-flower",1
"Moringa oleifera","Nectarinia hunteri","mai4",2013-11-25,"Bird-flower","mai4_2013-11-25_Bird-flower",1
"Delonix regia","Nectarinia mariquensis","mai4",2013-11-25,"Bird-flower","mai4_2013-11-25_Bird-flower",1
"Moringa oleifera","Nectarinia pulchella","mai4",2013-11-25,"Bird-flower","mai4_2013-11-25_Bird-flower",1
