"plant_species","corolla_depth","number_of_flowers","plant_height"
"Acacia hockii",0,252.429,1.836
"Albizia schimperiana",0,13328.143,22.143
"Aloe secundiflora",30,876.818,0.955
"Commiphora africana",3.3,48,5
"Delonix regia",0,756.667,3
"Discopodium eremanthum",3.98,9.5,2.188
"Emelianthe panganensis",29.2,39,3.4
"Erianthemum dregei",17.1,350.75,18.75
"Erythrina abyssinica",6,24,6
"Eucalyptus robusta",0,161.143,15.857
"Impatiens kilimandscharica",15.4,1.808,0.292
"Isoglossa laxa",14.85,2,0.4
"Jacaranda mimosifolia",38.5,2474.667,8
"Lantana camara",7.233,847.113,1.558
"Lasianthus kilimandscharicus",3.7,23,2.5
"Leucas volkensii",9.6,59.235,1.588
"Lobelia deckenii",0,86.889,25.189
"Mikaniopsis usambarensis",6.3,143.25,15.25
"Moringa oleifera",0,177.778,2.222
"Musa sp.",12.6,22.73,2.925
"Passiflora edulis",0,1.75,3.275
"Phragmantera usuiensis",10,477.75,1.7
"Plectranthus sylvestris",6.1,89.727,1.427
"Plicosepalus curviflorus",3.9,29.4,15
"Spathodea campanulata",76.933,97,22
"Zehneria scabra",3.35,211,15
