"plant_species","corolla_depth","flowers_per_inflorescence","plant_height"
"Acacia hockii",0,95,4
"Achyranthes aspera",0,500,1.1
"Adenostemma mauritianum",3.933,18,1.2
"Aeschynomene abyssinica",0,6.25,2.65
"Ageratum conyzoides",2.367,55,1
"Alchemilla johnstonii",0,3,0.07
"Amaranthus graecizans ssp. silvestris",0,28.667,0.575
"Argemone mexicana",0,1,1.2
"Aspilia pluriseta",3.7,30,1
"Asystasia gangetica",11.4,3,2.5
"Becium obovatum",5.3,6,0.65
"Begonia meyeri-johannis",0,4.5,5.5
"Bidens pilosa",3.933,31.667,0.8
"Capsicum fruticosum",0,5,2.5
"Carduus keniensis",15.8,250,3
"Carduus nyassanus",10.85,39,1.75
"Cassia mimosoides",0,5,1.2
"Celosia schweinfurthiana",0,38,2.575
"Centaurea praecox",10.85,53.5,0.5
"Cleome sp.",0,8.5,1
"Coffea arabica",8.1,5.5,4.5
"Commelina africana",0,1.8,0.8
"Commelina benghalensis",0,1.8,1.3
"Commelina benghalensis/foliacea",0,1.65,0.98
"Commelina foliacea",0,1.5,0.65
"Commelina pseudo-forskahlii",0,1,0.235
"Conyza bonariensis",4.1,18,0.95
"Conyza limosa",3.733,20,0.75
"Conyza pyrrhopappa",2.8,17.667,1.7
"Conyza subscaposa",7.3,60,0.34
"Conyza sumatrensis",3.622,12.5,0.95
"Crassocephalum montuosum",6.333,48.667,1.375
"Crotalaria dewildemaniana",0,2,1.65
"Cucumis dipsaceus",14,1,2
"Cucurbita pepo",0,1,2.65
"Cynoglossum amplifolium",2.629,12.25,1.05
"Cyperus brevifolius",0,35.5,0.3
"Dipsacus pinnatifidus",7.533,74,1.2
"Emilia coccinea",5.4,25,0.95
"Emilia discifolia",4.833,30,0.46
"Emilia ukambensis",4.4,55,0.45
"Erica arborea",1.72,20.5,3.9
"Erica silvatica",2.1,30,1.4
"Eriosema montanum",2.12,27.667,0.9
"Erucastrum arabicum",0,7,1
"Euclea racemosa",2.583,89.5,8
"Euphorbia herbacea",0,3.5,0.6
"Euphorbia heterophylla",0,12.333,1
"Euryops dacrydioides",3.475,49.333,1.15
"Galinsoga parviflora",2.433,16,0.425
"Galinsoga quadriradiata",2.85,14.5,0.5
"Glycine wightii",0,2.5,2.55
"Gomphocarpus integer",0,4.5,1.5
"Gutenbergia cordifolia",3.733,19.333,1.15
"Gynura sp.",11.2,15,2
"Hebenstretia angolensis",3.8,51,0.5
"Helianthus annuus",3.8,960,3
"Helichrysum citrispinum",3.467,40,0.675
"Helichrysum formosissimum",3.6,80,1.15
"Helichrysum forskahlii",1.65,9.5,0.6
"Helichrysum newii",3.9,65,0.55
"Hypoestes forskaolii",9.5,39.5,1.5
"Hypoxis angustifolia",0,2,0.53
"Hyptis suaveolens",4.8,7,1.7
"Impatiens walleriana",33.067,1,0.5
"Indigofera atriceps ssp. kaessneri",1.16,13.5,2
"Indigofera spicata",0,33,0.35
"Ipomoea blepharophylla",53.6,1,0.25
"Isoglossa laxa",14.85,4.5,1.15
"Justicia bracteata",4.95,9,1.25
"Justicia flava",6.6,13.5,2.25
"Lactuca inermis",6.233,8.333,0.775
"Lantana camara",7.233,23.333,2.675
"Lantana trifolia",4.225,33.667,1.95
"Lasianthus kilimandscharicus",3.7,5,4.35
"Leucas glabrata",6.05,4.857,1.05
