	corolla_length	corolla_aperture	height_mean
aca.ser	3,145555556	0,912222222	0,154444444
alo.gra	5,013333333	1,02	0,525
arg.sub	34,99222222	28,76777778	0,51375
arj.lon	14,48555556	1,666666667	0,222222222
bou.spi	10,2	1,48	1,766666667
bre.mic	4,166666667	2	0,32
bud.men	5,455555556	1,188888889	0,49
cap.ata	0,25	1,688888889	1,614
cen.sol	17,5	1,5	0,121538462
cer.arv	5,272222222	13,26333333	0,276666667
cle.mon	0	13,75333333	0,76
con.mic	0	4,505238095	0,8
des.sp1	3,091111111	4,003333333	0,33
dyp.gla	12,68333333	2,23	0,833333333
ero.cic	4,593333333	9,223333333	0,076666667
fum.cap	11	2,1	NA
hel.don	6,5	1,557142857	0,28
hof.ere	4,392222222	NA	0,1
hys.jas	0,566666667	3,566666667	0,255333333
lar.cun	0	17,07666667	0,65
lar.div	0	18,82	1,083333333
lar.nit	0	11,12	0,966666667
lec.het	14,89333333	35,21333333	0,3
lip.tur	4,055555556	0,711111111	0,333333333
lyc.chi	5,835833333	3,968333333	1,083333333
lyc.gil	9,32	1,313333333	0,656666667
men.dec	7,0605	1,571	0,296153846
mon.aph	11,42	4,134444444	1,055714286
opu.sul	0	66,68222222	0,43
oxy.ova	10,25	2,75	NA
pet.axi	58,15125	5,85625	0,21
phi.gil	7,075	8,506666667	0,3
phr.pac	32,31666667	21,58666667	0,15
pro.fle	4,15	1,74625	1,428888889
rut.cha	0	12,85	0,433333333
sal.gil	4,974444444	1,493333333	0,75
sch.fas	NA	4,726666667	1,006666667
sen.aph	15	8,722222222	0,26
sen.pin	0,633333333	2,883333333	0,825
spa.jun	27,49222222	1,26	1,808333333
sph.min	12,62555556	17,10777778	0,19
thy.pen	3,73	0,377777778	0,363214286
tri.can	165,3275	53,68	0,3575
ver.pol	1,734444444	7,793333333	0,05
zuc.pun	0	8,512777778	1,396666667
