	body_length	proboscis_length	proboscis_width	body_width	body_thickness
acal.sp2	1,6	0,4	2	3	4
acal.sp4	NA	NA	NA	16	11
acr.lob	8,04	0,96	4,4	12,2	11,2
allo.bre	9,966666667	6,233333333	35,5	65,25	3,3
allo.sp1	8,95	4,6625	36	66,33333333	3,075
amm.sp1	3,2875	0,545	60	45,5	16,625
ana.ine	8	1,5	13	45	32
ant.fri	14,5	NA	NA	70	48
ant.oed	8,975	1,70625	20,75	64,5	3,0625
ant.rub	9,7	5,23	30	72,2	3,45
ant.vig	10,28	5,18	29	74,2	3,82
antho.sp1	5,4	NA	NA	16	11
api.mel	12,32	5,24	28,6	66,2	3,62
arh.bif	9,62	5,21	28,6	2,96	2,31
ari.sp1	8,05	1,75	24	40,5	28
ase.mon	15,95	14,2	19	64	35
asi.sp1	10,76	1,08	8	40	2,63
asi.sp2	10,5	1	7	39	2,65
aud.sp	8,92	0,252	56,8	48,6	30,6
aug.sp	7,6	3,16	12,6	41,66666667	2,01
bab.elo	0,32	0,524	59,2	22,6	28,4
bib.sp1	5,25	1,5	13	15,5	1,55
bom.opi	16,58333333	9,083333333	45,5	88,66666667	6,183333333
bombil10	8,175	2,4125	15,25	54	2,45
bombil11	7,21	2,12	8,4	45	2,03
bombil12	13,25	4,9	6	68	45,5
bombil14	9,45	2,6	13	39	18,5
bombil15	9,8	4,8	6	43	16
bombil16	5,7	NA	NA	18	20
bombil3	5,76	2,34	5,6	35,2	1,73
bombil5	16,3	4,6	11,25	62,4	48,25
bombil7	9,46	5,06	12,2	77,8	4,05
bombil8	5,391666667	3,525	5,833333333	19,16666667	2,058333333
bombil9	8,733333333	1,875	12	35	28,33333333
cae.sp1	7,76	3,75	19	33,8	1,81
cal.sp1	NA	1,75	10	20	NA
cam.mus	0,33	0,915	45	8	5,85
cam.pun	0,328	0,728	38,2	6	4,65
cen.bre	13,38	7,46	30,6	88	4,9
cen.lya	17	5,7	29	92,66666667	54,33333333
cen.var	13,33333333	6,75	27	88,66666667	5
cha.sp1	12,16	3,59	37,8	77	3,73
coc.mac	8,2	2,1	6	51	36
coc.sp1	6,3	0,3	47	19	7
coc.sp2	0,7	1,35	68,66666667	21	42
coe.chi	9,6	5,7	24	67	3,4
coe.jor	13,4	3,7	24	64	50
coe.sp6	9,8	6	22	59	3
col.ara	9,49	2,665	26,4	53,9	2,665
col.bic	13	2,5	29	73	3,5
col.bre	9,15	2,5	24	59,5	2,875
col.cog	8,308333333	2,470833333	25,16666667	52	2,316666667
col.lyc	9,757142857	2,378571429	30,14285714	58,28571429	2,764285714
com.ful	9,32	2,75	32,6	3,5	3,08
cop.ari	14,5	8,21	12,2	5,75	58,4
cop.sp2	8,14	3,8	6,4	3,18	2,4
cop.sp3	8,85	3,25	6	44,5	44
cos.chi	12,5	0,346666667	71,33333333	84,66666667	48,33333333
cra.sp1	7,3	NA	19	39	30
dia.bar	7,4	3,45	16	46	28,5
dia.pat	10,08	4,96	30,2	69,2	28,8
dia.sp1	0,648	1,208	69,8	18,6	37
dih.sp1	5,08	2,305	10	18	1,24
emp.sp1	NA	NA	NA	17	9
emp.sp2	NA	NA	NA	10	1,6
epi.sp	13,2	0,5	58	64	23
eum.sp	12,7	0,4	33,5	46	29
exo.sp1	12,04	4,55	17,2	76,6	3,67
for.sp1	1,8	NA	NA	2	6
hir.sp1	12,8	1,35	37,4	72	3,53
hypa.sp1	7,9	NA	6	21	22
ise.vac	8,1	5,3	26,5	3,225	2,925
ise.vip	7,7	4	23,5	2,875	2,675
lei.abd	6,2	1,333333333	19,5	25,66666667	1,675
lei.fri	9,9	2,1	18,83333333	47,33333333	2,666666667
lep.nig	7,64	3,82	25,4	53,2	2,63
lepid11	15,16666667	10,1	9,5	27	19,66666667
lepid12	26,4	9,8	19	87	44
lepid3	3,23	0,472	30,6	9,8	10,4
lepid4	NA	NA	NA	4	6
lip.ino	5,85	2,325	10	1,93	1,35
lip.nig	5,85	2,65	13	1,95	1,5
lon.rob	9	2,6875	30,25	55,5	2,675
lon.sp1	10,5	2,5	33	59	3
meg.A	10,38333333	5,392857143	20	3,833333333	3,25
meg.C	10,87692308	6,373076923	23,92307692	4,015384615	3,519230769
meg.cte	9,55	5,1875	18,75	3,3	2,8
meg.pse2	12	6	26	4,4	3,75
mel.coc	NA	2,3	29	50	28
mel.sp	10,9	3,4	24	45	44
mes.jen	11,82	6,54	40,2	81,8	4,7
muscid2	6,3	1,3	6	25	16
neu.sp1	4,625	0,34	9,5	14,75	11,75
nit.sp1	2,988888889	0,177777778	12,66666667	10,44444444	5
pir.com	10,6	0,33	70	61	44
pla.sp1	6,76	2,6	17,4	2,1	17,6
pol.cav	1,75	2,25	77	63	53
pompil2	1,33	1,35	71	34	10,05
psa.phi	10,6	3,7	21,5	43	30,5
psa.ruf	9,08	3,28	24,4	3,02	2,43
pse.sp	8,133333333	4,62	17	36	2,091666667
rub.nas	4,85	1,3	76	86,5	62,5
sar.sp1	6,75	1,35	6	31	18,5
sci.sp1	NA	NA	NA	2	0,9
sph.sp2	5,65	2,15	76,5	86	62,5
sphecid1	3,24	0,912	75,33333333	71,5	53,5
str.eur	6,15	0,156666667	64,8	44,8	28,6
sva.bau	10,4	3,2	24	59	39
sva.bom	13,8	4,7	25,66666667	79,66666667	46
sva.zeb	12,58	7,92	47,2	4,37	3,796
syr.sp1	11,42	3,97	32	3,29	33,6
syr.sp2	6,6	1,4	6	16,5	20
syr.sp3	9,5	0,9	6	30	23
syr.sp5	4,4	1,6	6	25	26
syr.sp6	10,5	2,3	4	19	24,5
tac.sp1	2,625	1,4975	64	73,5	16,68
tac.sp10	11,8	4,3	14	75	4
tac.sp15	9,7	2	6	27,33333333	24
tac.sp17	NA	0,6	2	15,5	14
tac.sp5	NA	NA	NA	19	1,8
tac.sp8	10,25	3,625	33	71	3,575
tachy.sp	9,9	NA	13	43	40
tat.aut	11,9	0,273333333	75,33333333	80	55
