site	visit	urban	urban_ord	julian_day	day_square	family	genus	plant	insect	p_species	i_species
SANT	1	low	a	95	9025	halictidae	sphecodes	NA	NA	NA	NA
SANT	2	low	a	114	12996	halictidae	sphecodes	NA	NA	NA	NA
SANT	3	low	a	129	16641	halictidae	sphecodes	NA	NA	NA	NA
SANT	4	low	a	142	20164	halictidae	sphecodes	NA	NA	NA	NA
SANT	5	low	a	156	24336	halictidae	sphecodes	leu.v	s.ret	Leucanthemum vulgare	Sphecodes reticulatus
SANT	6	low	a	170	28900	halictidae	sphecodes	NA	NA	NA	NA
MOSA	1	low	a	95	9025	halictidae	sphecodes	NA	NA	NA	NA
MOSA	2	low	a	114	12996	halictidae	sphecodes	NA	NA	NA	NA
MOSA	3	low	a	129	16641	halictidae	sphecodes	NA	NA	NA	NA
MOSA	4	low	a	142	20164	halictidae	sphecodes	NA	NA	NA	NA
MOSA	5	low	a	156	24336	halictidae	sphecodes	NA	NA	NA	NA
MOSA	6	low	a	170	28900	halictidae	sphecodes	NA	NA	NA	NA
LACA	1	low	a	95	9025	halictidae	sphecodes	NA	NA	NA	NA
LACA	2	low	a	114	12996	halictidae	sphecodes	NA	NA	NA	NA
LACA	3	low	a	129	16641	halictidae	sphecodes	NA	NA	NA	NA
LACA	4	low	a	142	20164	halictidae	sphecodes	NA	NA	NA	NA
LACA	5	low	a	156	24336	halictidae	sphecodes	NA	NA	NA	NA
LACA	6	low	a	170	28900	halictidae	sphecodes	NA	NA	NA	NA
CITA	1	low	a	97	9409	halictidae	sphecodes	NA	NA	NA	NA
CITA	2	low	a	126	15876	halictidae	sphecodes	NA	NA	NA	NA
CITA	3	low	a	136	18496	halictidae	sphecodes	NA	NA	NA	NA
CITA	4	low	a	151	22801	halictidae	sphecodes	NA	NA	NA	NA
CITA	5	low	a	165	27225	halictidae	sphecodes	ach.m	s.mon	Achillea millefolium	Sphecodes monilicornis
CITA	6	low	a	180	32400	halictidae	sphecodes	NA	NA	NA	NA
BETH	1	medium	b	104	10816	halictidae	sphecodes	NA	NA	NA	NA
BETH	2	medium	b	NA	NA	halictidae	sphecodes	NA	NA	NA	NA
BETH	3	medium	b	130	16900	halictidae	sphecodes	NA	NA	NA	NA
BETH	4	medium	b	143	20449	halictidae	sphecodes	NA	NA	NA	NA
BETH	5	medium	b	159	25281	halictidae	sphecodes	NA	NA	NA	NA
BETH	6	medium	b	173	29929	halictidae	sphecodes	NA	NA	NA	NA
CHUR	1	medium	b	97	9409	halictidae	sphecodes	NA	NA	NA	NA
CHUR	2	medium	b	126	15876	halictidae	sphecodes	NA	NA	NA	NA
CHUR	3	medium	b	136	18496	halictidae	sphecodes	NA	NA	NA	NA
CHUR	4	medium	b	151	22801	halictidae	sphecodes	NA	NA	NA	NA
CHUR	5	medium	b	165	27225	halictidae	sphecodes	NA	NA	NA	NA
CHUR	6	medium	b	180	32400	halictidae	sphecodes	NA	NA	NA	NA
BERG	1	medium	b	104	10816	halictidae	sphecodes	NA	NA	NA	NA
BERG	2	medium	b	NA	NA	halictidae	sphecodes	NA	NA	NA	NA
BERG	3	medium	b	130	16900	halictidae	sphecodes	NA	NA	NA	NA
BERG	4	medium	b	143	20449	halictidae	sphecodes	NA	NA	NA	NA
BERG	5	medium	b	159	25281	halictidae	sphecodes	NA	NA	NA	NA
BERG	6	medium	b	173	29929	halictidae	sphecodes	NA	NA	NA	NA
BLAN	1	medium	b	94	8836	halictidae	sphecodes	NA	NA	NA	NA
BLAN	2	medium	b	110	12100	halictidae	sphecodes	NA	NA	NA	NA
BLAN	3	medium	b	131	17161	halictidae	sphecodes	leu.v	s.mon	Leucanthemum vulgare	Sphecodes monilicornis
BLAN	4	medium	b	145	21025	halictidae	sphecodes	NA	NA	NA	NA
BLAN	5	medium	b	158	24964	halictidae	sphecodes	NA	NA	NA	NA
BLAN	6	medium	b	171	29241	halictidae	sphecodes	NA	NA	NA	NA
LEED	1	high	c	97	9409	halictidae	sphecodes	NA	NA	NA	NA
LEED	2	high	c	116	13456	halictidae	sphecodes	NA	NA	NA	NA
LEED	3	high	c	136	18496	halictidae	sphecodes	NA	NA	NA	NA
LEED	4	high	c	151	22801	halictidae	sphecodes	NA	NA	NA	NA
LEED	5	high	c	165	27225	halictidae	sphecodes	NA	NA	NA	NA
LEED	6	high	c	180	32400	halictidae	sphecodes	NA	NA	NA	NA
DEUS	1	high	c	104	10816	halictidae	sphecodes	NA	NA	NA	NA
DEUS	2	high	c	NA	NA	halictidae	sphecodes	NA	NA	NA	NA
DEUS	3	high	c	130	16900	halictidae	sphecodes	leu.v	s.mon	Leucanthemum vulgare	Sphecodes monilicornis
DEUS	3	high	c	130	16900	halictidae	sphecodes	leu.v	s.mon	Leucanthemum vulgare	Sphecodes monilicornis
DEUS	4	high	c	143	20449	halictidae	sphecodes	NA	NA	NA	NA
DEUS	5	high	c	159	25281	halictidae	sphecodes	NA	NA	NA	NA
DEUS	6	high	c	173	29929	halictidae	sphecodes	ach.m	s.mon	Achillea millefolium	Sphecodes monilicornis
ZENB	1	high	c	94	8836	halictidae	sphecodes	NA	NA	NA	NA
ZENB	2	high	c	110	12100	halictidae	sphecodes	NA	NA	NA	NA
ZENB	3	high	c	131	17161	halictidae	sphecodes	NA	NA	NA	NA
ZENB	4	high	c	145	21025	halictidae	sphecodes	NA	NA	NA	NA
ZENB	5	high	c	158	24964	halictidae	sphecodes	NA	NA	NA	NA
ZENB	6	high	c	171	29241	halictidae	sphecodes	NA	NA	NA	NA
COUB	1	high	c	94	8836	halictidae	sphecodes	NA	NA	NA	NA
COUB	2	high	c	110	12100	halictidae	sphecodes	NA	NA	NA	NA
COUB	3	high	c	131	17161	halictidae	sphecodes	NA	NA	NA	NA
COUB	4	high	c	145	21025	halictidae	sphecodes	NA	NA	NA	NA
COUB	5	high	c	158	24964	halictidae	sphecodes	NA	NA	NA	NA
COUB	6	high	c	171	29241	halictidae	sphecodes	NA	NA	NA	NA
SANT	1	low	a	95	9025	halictidae	halictus	NA	NA	NA	NA
SANT	2	low	a	114	12996	halictidae	halictus	tar.r	h.tum	Taraxacum sect. Ruderalia	Halictus tumulorum
SANT	2	low	a	114	12996	halictidae	halictus	bel.p	h.tum	Bellis perennis	Halictus tumulorum
SANT	2	low	a	114	12996	halictidae	halictus	tar.r	h.tum	Taraxacum sect. Ruderalia	Halictus tumulorum
SANT	2	low	a	114	12996	halictidae	halictus	tar.r	h.tum	Taraxacum sect. Ruderalia	Halictus tumulorum
SANT	2	low	a	114	12996	halictidae	halictus	tar.r	h.tum	Taraxacum sect. Ruderalia	Halictus tumulorum
SANT	3	low	a	129	16641	halictidae	halictus	NA	NA	NA	NA
SANT	4	low	a	142	20164	halictidae	halictus	NA	NA	NA	NA
SANT	5	low	a	156	24336	halictidae	halictus	NA	NA	NA	NA
SANT	6	low	a	170	28900	halictidae	halictus	NA	NA	NA	NA
MOSA	1	low	a	95	9025	halictidae	halictus	NA	NA	NA	NA
MOSA	2	low	a	114	12996	halictidae	halictus	tar.r	h.tum	Taraxacum sect. Ruderalia	Halictus tumulorum
MOSA	3	low	a	129	16641	halictidae	halictus	bel.p	h.tum	Bellis perennis	Halictus tumulorum
MOSA	3	low	a	129	16641	halictidae	halictus	vic.s	h.tum	Vicia sativa	Halictus tumulorum
MOSA	3	low	a	129	16641	halictidae	halictus	ran.r	h.tum	Ranunculus repens	Halictus tumulorum
MOSA	4	low	a	142	20164	halictidae	halictus	NA	NA	NA	NA
